,activation,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation neg_mean_squared_error
66,sigmoid,32.0,1000,0.0001,0.001,0.01,Adam,"[5, 10]",-8.291858544236103
67,sigmoid,32.0,1000,0.0001,0.01,0.01,Adam,"[5, 10]",-8.291858544236103
68,sigmoid,32.0,1000,0.0001,0.1,0.01,Adam,"[5, 10]",-8.291858544236103
69,sigmoid,32.0,1000,0.0001,0.5,0.01,Adam,"[5, 10]",-8.291858544236103
70,sigmoid,32.0,1000,0.0001,0.1,0.001,Adam,"[5, 10]",-8.315542960199586
71,sigmoid,32.0,1000,0.0001,0.001,0.001,Adam,"[5, 10]",-8.315542960199586
72,sigmoid,32.0,1000,0.0001,0.01,0.001,Adam,"[5, 10]",-8.315542960199586
73,sigmoid,32.0,1000,0.0001,0.5,0.001,Adam,"[5, 10]",-8.315542960199586
74,sigmoid,32.0,1000,0.0001,0.3,0.001,Adam,"[5, 10]",-8.315542960199586
75,sigmoid,32.0,1000,0.0001,0.5,0.0001,Adam,"[5, 10]",-8.318053894227663
76,sigmoid,32.0,1000,0.0001,0.01,0.0001,Adam,"[5, 10]",-8.318053894227663
77,sigmoid,32.0,1000,0.0001,0.001,0.0001,Adam,"[5, 10]",-8.318053894227663
78,sigmoid,32.0,1000,0.0001,0.3,0.0001,Adam,"[5, 10]",-8.318053894227663
79,sigmoid,32.0,1000,0.0001,0.1,0.0001,Adam,"[5, 10]",-8.318053894227663
80,sigmoid,32.0,1000,0.0001,0.001,0.0001,Adam,"[3, 5]",-8.416298608221457
81,sigmoid,32.0,1000,0.0001,0.01,0.0001,Adam,"[3, 5]",-8.416298608221457
82,sigmoid,32.0,1000,0.0001,0.3,0.0001,Adam,"[3, 5]",-8.416298608221457
83,sigmoid,32.0,1000,0.0001,0.1,0.0001,Adam,"[3, 5]",-8.416298608221457
84,sigmoid,32.0,1000,0.0001,0.5,0.0001,Adam,"[3, 5]",-8.416298608221457
85,sigmoid,32.0,1000,0.0001,0.3,0.001,Adam,"[3, 5]",-8.41636017635003
86,sigmoid,32.0,1000,0.0001,0.1,0.001,Adam,"[3, 5]",-8.41636017635003
