,batch_size,epochs,eps,eta,lmbda,momentum,optimizer,sizes,Validation neg_mean_squared_error
59,,1000,0.0001,0.1,0.01,0.2,SGM,"[16, 32]",-8.661313988298552
60,32.0,1000,0.0001,0.1,0.0,0.0,SGM,"[30, 50]",-8.675145183548885
61,32.0,1000,0.0001,0.1,0.0,0.5,SGM,"[30, 50]",-8.675145183548885
62,32.0,1000,0.0001,0.1,0.0,0.9,SGM,"[30, 50]",-8.675145183548885
63,32.0,1000,0.0001,0.1,0.0,0.2,SGM,"[30, 50]",-8.675145183548885
64,,1000,0.0001,0.1,0.0,0.2,SGM,"[16, 32]",-8.676468335399282
65,,1000,0.0001,0.1,0.0,0.5,SGM,"[16, 32]",-8.676468335399282
66,,1000,0.0001,0.1,0.0,0.9,SGM,"[16, 32]",-8.676468335399282
67,,1000,0.0001,0.1,0.0,0.0,SGM,"[16, 32]",-8.676468335399282
68,,1000,0.0001,0.1,0.001,0.0,SGM,"[16, 32]",-8.679067828464275
69,,1000,0.0001,0.1,0.001,0.9,SGM,"[16, 32]",-8.679067828464275
70,,1000,0.0001,0.1,0.001,0.5,SGM,"[16, 32]",-8.679067828464275
71,,1000,0.0001,0.1,0.001,0.2,SGM,"[16, 32]",-8.679067828464275
72,32.0,1000,0.0001,0.01,0.0,0.2,SGM,"[50, 50]",-8.823072410677401
73,32.0,1000,0.0001,0.01,0.0,0.5,SGM,"[50, 50]",-8.823072410677401
74,32.0,1000,0.0001,0.01,0.0,0.9,SGM,"[50, 50]",-8.823072410677401
75,32.0,1000,0.0001,0.01,0.0,0.0,SGM,"[50, 50]",-8.823072410677401
76,32.0,500,0.0001,0.1,0.01,0.2,SGM,"[16, 32]",-9.064279074102139
77,32.0,500,0.0001,0.1,0.01,0.5,SGM,"[16, 32]",-9.064279074102139
78,32.0,500,0.0001,0.1,0.01,0.9,SGM,"[16, 32]",-9.064279074102139
79,32.0,500,0.0001,0.1,0.01,0.0,SGM,"[16, 32]",-9.064279074102139
80,,1000,0.0001,0.1,0.01,0.9,SGM,"[50, 50]",-9.146587395206145
81,,1000,0.0001,0.1,0.01,0.5,SGM,"[50, 50]",-9.146587395206145
82,,1000,0.0001,0.1,0.01,0.2,SGM,"[50, 50]",-9.146587395206145
83,,1000,0.0001,0.1,0.01,0.0,SGM,"[50, 50]",-9.146587395206145
84,,1000,0.0001,0.1,0.001,0.2,SGM,"[50, 50]",-9.203023676886502
85,,1000,0.0001,0.1,0.001,0.9,SGM,"[50, 50]",-9.203023676886502
86,,1000,0.0001,0.1,0.001,0.5,SGM,"[50, 50]",-9.203023676886502
87,,1000,0.0001,0.1,0.001,0.0,SGM,"[50, 50]",-9.203023676886502
88,,1000,0.0001,0.1,0.0,0.9,SGM,"[50, 50]",-9.205360184355438
89,,1000,0.0001,0.1,0.0,0.2,SGM,"[50, 50]",-9.205360184355438
90,,1000,0.0001,0.1,0.0,0.0,SGM,"[50, 50]",-9.205360184355438
91,,1000,0.0001,0.1,0.0,0.5,SGM,"[50, 50]",-9.205360184355438
92,32.0,1000,0.0001,0.1,0.0,0.9,SGM,"[50, 50]",-9.242566171590934
93,32.0,1000,0.0001,0.1,0.0,0.5,SGM,"[50, 50]",-9.242566171590934
94,32.0,1000,0.0001,0.1,0.0,0.2,SGM,"[50, 50]",-9.242566171590934
95,32.0,1000,0.0001,0.1,0.0,0.0,SGM,"[50, 50]",-9.242566171590934
96,32.0,1000,0.0001,0.01,0.001,0.5,SGM,"[50, 50]",-9.336699799638074
97,32.0,1000,0.0001,0.01,0.001,0.2,SGM,"[50, 50]",-9.336699799638074
98,32.0,1000,0.0001,0.01,0.001,0.9,SGM,"[50, 50]",-9.336699799638074
99,32.0,1000,0.0001,0.01,0.001,0.0,SGM,"[50, 50]",-9.336699799638074
100,32.0,1000,0.0001,0.01,0.0,0.0,SGM,"[30, 50]",-9.356452189242166
101,32.0,1000,0.0001,0.01,0.0,0.9,SGM,"[30, 50]",-9.356452189242166
102,32.0,1000,0.0001,0.01,0.0,0.5,SGM,"[30, 50]",-9.356452189242166
103,32.0,1000,0.0001,0.01,0.0,0.2,SGM,"[30, 50]",-9.356452189242166
104,32.0,1000,0.0001,0.1,0.01,0.2,SGM,"[16, 32]",-9.36103157460732
105,32.0,1000,0.0001,0.1,0.01,0.9,SGM,"[16, 32]",-9.36103157460732
106,32.0,1000,0.0001,0.1,0.01,0.5,SGM,"[16, 32]",-9.36103157460732
107,32.0,1000,0.0001,0.1,0.01,0.0,SGM,"[16, 32]",-9.36103157460732
108,,1000,0.0001,0.1,0.01,0.0,SGM,"[30, 50]",-9.435599805233105
109,,1000,0.0001,0.1,0.01,0.2,SGM,"[30, 50]",-9.435599805233105
110,,1000,0.0001,0.1,0.01,0.9,SGM,"[30, 50]",-9.435599805233105
111,,1000,0.0001,0.1,0.01,0.5,SGM,"[30, 50]",-9.435599805233105
112,,1000,0.0001,0.1,0.0,0.2,SGM,"[30, 50]",-9.487605253262702
113,,1000,0.0001,0.1,0.0,0.9,SGM,"[30, 50]",-9.487605253262702
114,,1000,0.0001,0.1,0.0,0.5,SGM,"[30, 50]",-9.487605253262702
115,,1000,0.0001,0.1,0.0,0.0,SGM,"[30, 50]",-9.487605253262702
116,,1000,0.0001,0.1,0.001,0.9,SGM,"[30, 50]",-9.567966844158711
117,,1000,0.0001,0.1,0.001,0.0,SGM,"[30, 50]",-9.567966844158711
118,,1000,0.0001,0.1,0.001,0.2,SGM,"[30, 50]",-9.567966844158711
119,,1000,0.0001,0.1,0.001,0.5,SGM,"[30, 50]",-9.567966844158711
120,32.0,1000,0.0001,0.01,0.001,0.0,SGM,"[30, 50]",-9.636887366682535
121,32.0,1000,0.0001,0.01,0.001,0.2,SGM,"[30, 50]",-9.636887366682535
122,32.0,1000,0.0001,0.01,0.001,0.9,SGM,"[30, 50]",-9.636887366682535
123,32.0,1000,0.0001,0.01,0.001,0.5,SGM,"[30, 50]",-9.636887366682535
124,32.0,500,0.0001,0.01,0.0,0.9,SGM,"[50, 50]",-9.765653882240215
125,32.0,500,0.0001,0.01,0.0,0.5,SGM,"[50, 50]",-9.765653882240215
126,32.0,500,0.0001,0.01,0.0,0.2,SGM,"[50, 50]",-9.765653882240215
127,32.0,500,0.0001,0.01,0.0,0.0,SGM,"[50, 50]",-9.765653882240215
128,,500,0.0001,0.1,0.0,0.5,SGM,"[16, 32]",-9.785089602271434
129,,500,0.0001,0.1,0.0,0.2,SGM,"[16, 32]",-9.785089602271434
130,,500,0.0001,0.1,0.0,0.0,SGM,"[16, 32]",-9.785089602271434
131,,500,0.0001,0.1,0.0,0.9,SGM,"[16, 32]",-9.785089602271434
132,,500,0.0001,0.1,0.001,0.0,SGM,"[16, 32]",-9.80141016387175
133,,500,0.0001,0.1,0.001,0.2,SGM,"[16, 32]",-9.80141016387175
134,,500,0.0001,0.1,0.001,0.5,SGM,"[16, 32]",-9.80141016387175
135,,500,0.0001,0.1,0.001,0.9,SGM,"[16, 32]",-9.80141016387175
136,,500,0.0001,0.1,0.01,0.5,SGM,"[16, 32]",-9.814126362290299
137,,500,0.0001,0.1,0.01,0.9,SGM,"[16, 32]",-9.814126362290299
138,,500,0.0001,0.1,0.01,0.2,SGM,"[16, 32]",-9.814126362290299
139,,500,0.0001,0.1,0.01,0.0,SGM,"[16, 32]",-9.814126362290299
140,32.0,500,0.0001,0.01,0.001,0.5,SGM,"[50, 50]",-10.069626563898149
141,32.0,500,0.0001,0.01,0.001,0.9,SGM,"[50, 50]",-10.069626563898149
142,32.0,500,0.0001,0.01,0.001,0.0,SGM,"[50, 50]",-10.069626563898149
143,32.0,500,0.0001,0.01,0.001,0.2,SGM,"[50, 50]",-10.069626563898149
144,,500,0.0001,0.1,0.01,0.2,SGM,"[50, 50]",-10.072763051649257
145,,500,0.0001,0.1,0.01,0.9,SGM,"[50, 50]",-10.072763051649257
146,,500,0.0001,0.1,0.01,0.0,SGM,"[50, 50]",-10.072763051649257
147,,500,0.0001,0.1,0.01,0.5,SGM,"[50, 50]",-10.072763051649257
148,,500,0.0001,0.1,0.001,0.5,SGM,"[50, 50]",-10.214083196331632
149,,500,0.0001,0.1,0.001,0.9,SGM,"[50, 50]",-10.214083196331632
150,,500,0.0001,0.1,0.001,0.2,SGM,"[50, 50]",-10.214083196331632
151,,500,0.0001,0.1,0.001,0.0,SGM,"[50, 50]",-10.214083196331632
152,,500,0.0001,0.1,0.0,0.9,SGM,"[50, 50]",-10.225007402459848
153,,500,0.0001,0.1,0.0,0.5,SGM,"[50, 50]",-10.225007402459848
154,,500,0.0001,0.1,0.0,0.2,SGM,"[50, 50]",-10.225007402459848
155,,500,0.0001,0.1,0.0,0.0,SGM,"[50, 50]",-10.225007402459848
156,32.0,500,0.0001,0.01,0.001,0.0,SGM,"[30, 50]",-10.232771902512221
157,32.0,500,0.0001,0.01,0.001,0.5,SGM,"[30, 50]",-10.232771902512221
158,32.0,500,0.0001,0.01,0.001,0.9,SGM,"[30, 50]",-10.232771902512221
159,32.0,500,0.0001,0.01,0.001,0.2,SGM,"[30, 50]",-10.232771902512221
160,32.0,500,0.0001,0.01,0.0,0.0,SGM,"[30, 50]",-10.26708312355889
161,32.0,500,0.0001,0.01,0.0,0.2,SGM,"[30, 50]",-10.26708312355889
162,32.0,500,0.0001,0.01,0.0,0.5,SGM,"[30, 50]",-10.26708312355889
163,32.0,500,0.0001,0.01,0.0,0.9,SGM,"[30, 50]",-10.26708312355889
164,,500,0.0001,0.1,0.001,0.9,SGM,"[30, 50]",-10.423255304254926
165,,500,0.0001,0.1,0.001,0.5,SGM,"[30, 50]",-10.423255304254926
166,,500,0.0001,0.1,0.001,0.2,SGM,"[30, 50]",-10.423255304254926
167,,500,0.0001,0.1,0.001,0.0,SGM,"[30, 50]",-10.423255304254926
168,,500,0.0001,0.1,0.0,0.9,SGM,"[30, 50]",-10.446499116415742
169,,500,0.0001,0.1,0.0,0.5,SGM,"[30, 50]",-10.446499116415742
170,,500,0.0001,0.1,0.0,0.2,SGM,"[30, 50]",-10.446499116415742
171,,500,0.0001,0.1,0.0,0.0,SGM,"[30, 50]",-10.446499116415742
172,,500,0.0001,0.1,0.01,0.5,SGM,"[30, 50]",-10.478052253040552
173,,500,0.0001,0.1,0.01,0.0,SGM,"[30, 50]",-10.478052253040552
174,,500,0.0001,0.1,0.01,0.2,SGM,"[30, 50]",-10.478052253040552
175,,500,0.0001,0.1,0.01,0.9,SGM,"[30, 50]",-10.478052253040552
176,32.0,1000,0.0001,0.01,0.0,0.0,SGM,"[16, 32]",-10.536547860774181
177,32.0,1000,0.0001,0.01,0.0,0.2,SGM,"[16, 32]",-10.536547860774181
178,32.0,1000,0.0001,0.01,0.0,0.5,SGM,"[16, 32]",-10.536547860774181
179,32.0,1000,0.0001,0.01,0.0,0.9,SGM,"[16, 32]",-10.536547860774181
180,32.0,1000,0.0001,0.01,0.001,0.2,SGM,"[16, 32]",-12.010982757802442
181,32.0,1000,0.0001,0.01,0.001,0.0,SGM,"[16, 32]",-12.010982757802442
182,32.0,1000,0.0001,0.01,0.001,0.5,SGM,"[16, 32]",-12.010982757802442
183,32.0,1000,0.0001,0.01,0.001,0.9,SGM,"[16, 32]",-12.010982757802442
184,32.0,500,0.0001,0.01,0.001,0.9,SGM,"[16, 32]",-14.044039840227674
185,32.0,500,0.0001,0.01,0.001,0.0,SGM,"[16, 32]",-14.044039840227674
186,32.0,500,0.0001,0.01,0.001,0.2,SGM,"[16, 32]",-14.044039840227674
187,32.0,500,0.0001,0.01,0.001,0.5,SGM,"[16, 32]",-14.044039840227674
188,32.0,500,0.0001,0.01,0.0,0.5,SGM,"[16, 32]",-14.212528258176368
189,32.0,500,0.0001,0.01,0.0,0.2,SGM,"[16, 32]",-14.212528258176368
190,32.0,500,0.0001,0.01,0.0,0.0,SGM,"[16, 32]",-14.212528258176368
191,32.0,500,0.0001,0.01,0.0,0.9,SGM,"[16, 32]",-14.212528258176368
192,32.0,500,0.0001,0.01,0.01,0.9,SGM,"[50, 50]",-15.247753401236713
193,32.0,500,0.0001,0.01,0.01,0.5,SGM,"[50, 50]",-15.247753401236713
194,32.0,500,0.0001,0.01,0.01,0.2,SGM,"[50, 50]",-15.247753401236713
195,32.0,500,0.0001,0.01,0.01,0.0,SGM,"[50, 50]",-15.247753401236713
196,32.0,500,0.0001,0.01,0.01,0.9,SGM,"[30, 50]",-17.600038692421585
197,32.0,500,0.0001,0.01,0.01,0.5,SGM,"[30, 50]",-17.600038692421585
198,32.0,500,0.0001,0.01,0.01,0.2,SGM,"[30, 50]",-17.600038692421585
199,32.0,500,0.0001,0.01,0.01,0.0,SGM,"[30, 50]",-17.600038692421585
200,32.0,1000,0.0001,0.01,0.01,0.9,SGM,"[50, 50]",-21.306874194162933
201,32.0,1000,0.0001,0.01,0.01,0.5,SGM,"[50, 50]",-21.306874194162933
202,32.0,1000,0.0001,0.01,0.01,0.2,SGM,"[50, 50]",-21.306874194162933
203,32.0,1000,0.0001,0.01,0.01,0.0,SGM,"[50, 50]",-21.306874194162933
204,,1000,0.0001,0.01,0.0,0.2,SGM,"[50, 50]",-23.439999156451716
205,,1000,0.0001,0.01,0.0,0.5,SGM,"[50, 50]",-23.439999156451716
206,,1000,0.0001,0.01,0.0,0.9,SGM,"[50, 50]",-23.439999156451716
207,,1000,0.0001,0.01,0.0,0.0,SGM,"[50, 50]",-23.439999156451716
208,,1000,0.0001,0.01,0.001,0.2,SGM,"[50, 50]",-23.44962279592658
209,,1000,0.0001,0.01,0.001,0.5,SGM,"[50, 50]",-23.44962279592658
210,,1000,0.0001,0.01,0.001,0.0,SGM,"[50, 50]",-23.44962279592658
211,,1000,0.0001,0.01,0.001,0.9,SGM,"[50, 50]",-23.44962279592658
212,,1000,0.0001,0.01,0.01,0.5,SGM,"[50, 50]",-23.53895171866789
213,,1000,0.0001,0.01,0.01,0.0,SGM,"[50, 50]",-23.53895171866789
214,,1000,0.0001,0.01,0.01,0.2,SGM,"[50, 50]",-23.53895171866789
215,,1000,0.0001,0.01,0.01,0.9,SGM,"[50, 50]",-23.53895171866789
216,32.0,1000,0.0001,0.01,0.01,0.2,SGM,"[30, 50]",-27.86375200845861
217,32.0,1000,0.0001,0.01,0.01,0.9,SGM,"[30, 50]",-27.86375200845861
218,32.0,1000,0.0001,0.01,0.01,0.0,SGM,"[30, 50]",-27.86375200845861
219,32.0,1000,0.0001,0.01,0.01,0.5,SGM,"[30, 50]",-27.86375200845861
220,,1000,0.0001,0.01,0.0,0.5,SGM,"[30, 50]",-32.84859805399451
221,,1000,0.0001,0.01,0.0,0.9,SGM,"[30, 50]",-32.84859805399451
222,,1000,0.0001,0.01,0.0,0.0,SGM,"[30, 50]",-32.84859805399451
223,,1000,0.0001,0.01,0.0,0.2,SGM,"[30, 50]",-32.84859805399451
224,,1000,0.0001,0.01,0.001,0.0,SGM,"[30, 50]",-32.850092941411255
225,,1000,0.0001,0.01,0.001,0.2,SGM,"[30, 50]",-32.850092941411255
226,,1000,0.0001,0.01,0.001,0.5,SGM,"[30, 50]",-32.850092941411255
227,,1000,0.0001,0.01,0.001,0.9,SGM,"[30, 50]",-32.850092941411255
228,,1000,0.0001,0.01,0.01,0.9,SGM,"[30, 50]",-32.859938617829584
229,,1000,0.0001,0.01,0.01,0.0,SGM,"[30, 50]",-32.859938617829584
230,,1000,0.0001,0.01,0.01,0.5,SGM,"[30, 50]",-32.859938617829584
231,,1000,0.0001,0.01,0.01,0.2,SGM,"[30, 50]",-32.859938617829584
232,,500,0.0001,0.01,0.01,0.2,SGM,"[50, 50]",-34.82796229977161
233,,500,0.0001,0.01,0.01,0.0,SGM,"[50, 50]",-34.82796229977161
234,,500,0.0001,0.01,0.01,0.9,SGM,"[50, 50]",-34.82796229977161
235,,500,0.0001,0.01,0.01,0.5,SGM,"[50, 50]",-34.82796229977161
236,,500,0.0001,0.01,0.001,0.0,SGM,"[50, 50]",-34.82903344598826
237,,500,0.0001,0.01,0.001,0.2,SGM,"[50, 50]",-34.82903344598826
238,,500,0.0001,0.01,0.001,0.5,SGM,"[50, 50]",-34.82903344598826
239,,500,0.0001,0.01,0.001,0.9,SGM,"[50, 50]",-34.82903344598826
240,,500,0.0001,0.01,0.0,0.2,SGM,"[50, 50]",-34.82914033487419
241,,500,0.0001,0.01,0.0,0.5,SGM,"[50, 50]",-34.82914033487419
242,,500,0.0001,0.01,0.0,0.9,SGM,"[50, 50]",-34.82914033487419
243,,500,0.0001,0.01,0.0,0.0,SGM,"[50, 50]",-34.82914033487419
244,32.0,500,0.0001,0.01,0.01,0.2,SGM,"[16, 32]",-35.88490816750451
245,32.0,500,0.0001,0.01,0.01,0.9,SGM,"[16, 32]",-35.88490816750451
246,32.0,500,0.0001,0.01,0.01,0.0,SGM,"[16, 32]",-35.88490816750451
247,32.0,500,0.0001,0.01,0.01,0.5,SGM,"[16, 32]",-35.88490816750451
248,,1000,0.0001,0.01,0.01,0.5,SGM,"[16, 32]",-46.07521249740366
249,,1000,0.0001,0.01,0.01,0.2,SGM,"[16, 32]",-46.07521249740366
250,,1000,0.0001,0.01,0.01,0.9,SGM,"[16, 32]",-46.07521249740366
251,,1000,0.0001,0.01,0.01,0.0,SGM,"[16, 32]",-46.07521249740366
252,,1000,0.0001,0.01,0.001,0.9,SGM,"[16, 32]",-46.19905523445262
253,,1000,0.0001,0.01,0.001,0.0,SGM,"[16, 32]",-46.19905523445262
