,activation,alpha,batch_size,hidden_layer_sizes,learning_rate_init,max_iter,momentum,nesterovs_momentum,solver,tol,Validation accuracy
0,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.5,True,sgd,1e-06,0.9941176470588236
1,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.0,True,sgd,1e-06,0.9941176470588236
2,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.9,False,sgd,1e-06,0.9941176470588236
3,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.5,True,sgd,1e-06,0.9941176470588236
4,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.5,False,sgd,1e-06,0.9941176470588236
5,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.0,True,sgd,1e-06,0.9941176470588236
6,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.0,False,sgd,1e-06,0.9941176470588236
7,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.9,True,sgd,1e-06,0.9941176470588236
8,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.9,False,sgd,1e-06,0.9941176470588236
9,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.5,False,sgd,1e-06,0.9941176470588236
10,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.0,True,sgd,1e-06,0.9941176470588236
11,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.0,False,sgd,1e-06,0.9941176470588236
12,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.9,True,sgd,1e-06,0.9941176470588236
13,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.9,False,sgd,1e-06,0.9941176470588236
14,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.5,True,sgd,1e-06,0.9941176470588236
15,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.5,False,sgd,1e-06,0.9941176470588236
16,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.0,False,sgd,1e-06,0.9941176470588236
17,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.9,True,sgd,1e-06,0.9941176470588236
18,logistic,0.005,10.0,"[3, 5]",0.1,3000,0.9,True,sgd,1e-06,0.9647058823529411
19,logistic,0.005,10.0,"[3, 5]",0.1,3000,0.9,False,sgd,1e-06,0.9647058823529411
20,logistic,0.005,10.0,"[3, 5]",0.1,3000,0.5,True,sgd,1e-06,0.9647058823529411
21,logistic,0.005,10.0,"[3, 5]",0.1,3000,0.5,False,sgd,1e-06,0.9647058823529411
22,logistic,0.005,10.0,"[3, 5]",0.1,3000,0.0,True,sgd,1e-06,0.9647058823529411
23,logistic,0.005,10.0,"[3, 5]",0.1,3000,0.0,False,sgd,1e-06,0.9647058823529411
