,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation accuracy
0,,2000,1e-06,0.01,0.0,SGM,"[5, 10]",1.0
1,,2000,1e-06,0.1,0.0,SGM,"[5, 10]",1.0
2,,2000,1e-06,0.01,0.0001,SGM,"[5, 10]",1.0
3,,2000,1e-06,0.01,0.0001,SGM,"[16, 32]",1.0
4,,2000,1e-06,0.01,0.0001,SGM,"[30, 50]",1.0
5,,2000,1e-06,0.01,0.001,SGM,"[5, 10]",1.0
6,,2000,1e-06,0.01,0.001,SGM,"[16, 32]",1.0
7,,2000,1e-06,0.01,0.001,SGM,"[30, 50]",1.0
8,,2000,1e-06,0.01,0.01,SGM,"[5, 10]",1.0
9,,2000,1e-06,0.01,0.01,SGM,"[16, 32]",1.0
10,,2000,1e-06,0.01,0.01,SGM,"[30, 50]",1.0
11,,2000,1e-06,0.1,0.0,SGM,"[16, 32]",1.0
12,,2000,1e-06,0.01,0.0,SGM,"[16, 32]",1.0
13,,2000,1e-06,0.1,0.0,SGM,"[30, 50]",1.0
14,,2000,1e-06,0.1,0.0001,SGM,"[5, 10]",1.0
15,,2000,1e-06,0.1,0.0001,SGM,"[16, 32]",1.0
16,,2000,1e-06,0.1,0.0001,SGM,"[30, 50]",1.0
17,,2000,1e-06,0.1,0.001,SGM,"[5, 10]",1.0
18,,2000,1e-06,0.1,0.001,SGM,"[16, 32]",1.0
19,,2000,1e-06,0.1,0.001,SGM,"[30, 50]",1.0
20,,2000,1e-06,0.1,0.01,SGM,"[5, 10]",1.0
21,,2000,1e-06,0.1,0.01,SGM,"[16, 32]",1.0
22,,2000,1e-06,0.01,0.0,SGM,"[30, 50]",1.0
23,,2000,1e-06,0.1,0.01,SGM,"[30, 50]",1.0
24,,2000,1e-06,0.001,0.0,SGM,"[30, 50]",0.6647058823529413
25,,2000,1e-06,0.001,0.0001,SGM,"[30, 50]",0.6647058823529413
26,,2000,1e-06,0.001,0.01,SGM,"[30, 50]",0.6647058823529413
27,,2000,1e-06,0.001,0.001,SGM,"[30, 50]",0.6588235294117648
28,,2000,1e-06,0.001,0.01,SGM,"[16, 32]",0.6294117647058824
29,,2000,1e-06,0.001,0.0,SGM,"[5, 10]",0.6176470588235294
30,,2000,1e-06,0.0001,0.0001,SGM,"[5, 10]",0.6176470588235294
31,,2000,1e-06,0.0001,0.001,SGM,"[5, 10]",0.6176470588235294
32,,2000,1e-06,0.0001,0.01,SGM,"[5, 10]",0.6176470588235294
33,,2000,1e-06,0.0001,0.01,SGM,"[30, 50]",0.6176470588235294
34,,2000,1e-06,0.0001,0.0,SGM,"[5, 10]",0.6176470588235294
35,,2000,1e-06,0.001,0.0001,SGM,"[5, 10]",0.6176470588235294
36,,2000,1e-06,0.001,0.001,SGM,"[5, 10]",0.6176470588235294
37,,2000,1e-06,0.001,0.01,SGM,"[5, 10]",0.6176470588235294
38,,2000,1e-06,0.0001,0.001,SGM,"[30, 50]",0.611764705882353
39,,2000,1e-06,0.0001,0.0001,SGM,"[30, 50]",0.611764705882353
40,,2000,1e-06,0.0001,0.0,SGM,"[30, 50]",0.611764705882353
41,,2000,1e-06,0.001,0.0,SGM,"[16, 32]",0.6058823529411765
42,,2000,1e-06,0.001,0.0001,SGM,"[16, 32]",0.6058823529411765
43,,2000,1e-06,0.001,0.001,SGM,"[16, 32]",0.6058823529411765
44,,2000,1e-06,0.0001,0.01,SGM,"[16, 32]",0.38235294117647056
45,,2000,1e-06,0.0001,0.001,SGM,"[16, 32]",0.38235294117647056
46,,2000,1e-06,0.0001,0.0001,SGM,"[16, 32]",0.38235294117647056
47,,2000,1e-06,0.0001,0.0,SGM,"[16, 32]",0.38235294117647056
