,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation accuracy
0,,2000,1e-06,0.01,0.0,SGM,"[5, 10]",0.9279999999999999
1,,2000,1e-06,0.001,0.0001,SGM,"[30, 50]",0.9279999999999999
2,,2000,1e-06,0.01,0.01,SGM,"[5, 10]",0.9279999999999999
3,,2000,1e-06,0.01,0.0001,SGM,"[5, 10]",0.9279999999999999
4,,2000,1e-06,0.001,0.01,SGM,"[30, 50]",0.9279999999999999
5,,2000,1e-06,0.001,0.0,SGM,"[30, 50]",0.9279999999999999
6,,2000,1e-06,0.001,0.001,SGM,"[30, 50]",0.9279999999999999
7,,2000,1e-06,0.01,0.001,SGM,"[5, 10]",0.9199999999999999
8,,2000,1e-06,0.1,0.01,SGM,"[5, 10]",0.9119999999999999
9,,2000,1e-06,0.1,0.01,SGM,"[16, 32]",0.9039999999999999
10,,2000,1e-06,0.1,0.001,SGM,"[16, 32]",0.9039999999999999
11,,2000,1e-06,0.1,0.0001,SGM,"[16, 32]",0.9039999999999999
12,,2000,1e-06,0.1,0.0,SGM,"[30, 50]",0.9039999999999999
13,,2000,1e-06,0.1,0.0,SGM,"[16, 32]",0.9039999999999999
14,,2000,1e-06,0.1,0.001,SGM,"[30, 50]",0.8959999999999999
15,,2000,1e-06,0.1,0.0001,SGM,"[30, 50]",0.8959999999999999
16,,2000,1e-06,0.1,0.01,SGM,"[30, 50]",0.8959999999999999
17,,2000,1e-06,0.1,0.0001,SGM,"[5, 10]",0.8879999999999999
18,,2000,1e-06,0.1,0.0,SGM,"[5, 10]",0.8879999999999999
19,,2000,1e-06,0.01,0.01,SGM,"[30, 50]",0.8879999999999999
20,,2000,1e-06,0.01,0.01,SGM,"[16, 32]",0.8879999999999999
21,,2000,1e-06,0.01,0.001,SGM,"[30, 50]",0.8800000000000001
22,,2000,1e-06,0.01,0.0,SGM,"[30, 50]",0.8800000000000001
23,,2000,1e-06,0.01,0.0001,SGM,"[30, 50]",0.8800000000000001
24,,2000,1e-06,0.01,0.0001,SGM,"[16, 32]",0.8799999999999999
25,,2000,1e-06,0.1,0.001,SGM,"[5, 10]",0.8799999999999999
26,,2000,1e-06,0.01,0.001,SGM,"[16, 32]",0.8799999999999999
27,,2000,1e-06,0.01,0.0,SGM,"[16, 32]",0.8799999999999999
28,,2000,1e-06,0.001,0.0001,SGM,"[16, 32]",0.8480000000000001
29,,2000,1e-06,0.001,0.0,SGM,"[16, 32]",0.8480000000000001
30,,2000,1e-06,0.001,0.001,SGM,"[16, 32]",0.8480000000000001
31,,2000,1e-06,0.001,0.01,SGM,"[16, 32]",0.8240000000000001
32,,2000,1e-06,0.0001,0.0,SGM,"[30, 50]",0.736
33,,2000,1e-06,0.0001,0.0001,SGM,"[30, 50]",0.736
34,,2000,1e-06,0.0001,0.001,SGM,"[30, 50]",0.728
35,,2000,1e-06,0.0001,0.01,SGM,"[30, 50]",0.7040000000000001
36,,2000,1e-06,0.001,0.0001,SGM,"[5, 10]",0.52
37,,2000,1e-06,0.0001,0.0001,SGM,"[5, 10]",0.52
38,,2000,1e-06,0.0001,0.001,SGM,"[5, 10]",0.52
39,,2000,1e-06,0.001,0.0,SGM,"[5, 10]",0.52
40,,2000,1e-06,0.0001,0.01,SGM,"[5, 10]",0.52
41,,2000,1e-06,0.001,0.01,SGM,"[5, 10]",0.52
42,,2000,1e-06,0.001,0.001,SGM,"[5, 10]",0.52
43,,2000,1e-06,0.0001,0.0,SGM,"[5, 10]",0.52
44,,2000,1e-06,0.0001,0.001,SGM,"[16, 32]",0.48
45,,2000,1e-06,0.0001,0.01,SGM,"[16, 32]",0.48
46,,2000,1e-06,0.0001,0.0001,SGM,"[16, 32]",0.48
47,,2000,1e-06,0.0001,0.0,SGM,"[16, 32]",0.48
