,activation,alpha,batch_size,hidden_layer_sizes,learning_rate_init,max_iter,solver,tol,Validation accuracy
0,logistic,0.005,32.0,"[3, 5]",0.1,5000,adam,1e-12,0.9279999999999999
1,logistic,0.005,32.0,"[2, 3]",0.1,5000,adam,1e-12,0.9279999999999999
2,logistic,0.005,32.0,"[2, 3]",0.5,5000,adam,1e-12,0.9279999999999999
3,logistic,0.005,32.0,"[3, 5]",0.2,5000,adam,1e-12,0.9279999999999999
4,logistic,0.005,32.0,"[3, 5]",0.5,5000,adam,1e-12,0.9279999999999999
5,logistic,0.005,,"[2, 3]",0.1,5000,adam,1e-12,0.9279999999999999
6,logistic,0.0,,"[2, 3]",0.5,5000,adam,1e-12,0.9279999999999999
7,logistic,0.0,,"[2, 3]",0.2,5000,adam,1e-12,0.9279999999999999
8,logistic,0.0,,"[2, 3]",0.1,5000,adam,1e-12,0.9279999999999999
9,logistic,0.005,,"[2, 3]",0.2,5000,adam,1e-12,0.9279999999999999
10,logistic,0.005,,"[2, 3]",0.5,5000,adam,1e-12,0.9279999999999999
11,logistic,0.1,,"[2, 3]",0.1,5000,adam,1e-12,0.9279999999999999
12,logistic,0.1,,"[2, 3]",0.2,5000,adam,1e-12,0.9279999999999999
13,logistic,0.1,,"[2, 3]",0.5,5000,adam,1e-12,0.9279999999999999
14,logistic,0.005,32.0,"[2, 3]",0.2,5000,adam,1e-12,0.9279999999999999
15,logistic,0.005,,"[3, 5]",0.1,5000,adam,1e-12,0.9199999999999999
16,logistic,0.005,,"[3, 5]",0.2,5000,adam,1e-12,0.9199999999999999
17,logistic,0.005,,"[3, 5]",0.5,5000,adam,1e-12,0.9199999999999999
18,logistic,0.1,,"[3, 5]",0.1,5000,adam,1e-12,0.9199999999999999
19,logistic,0.1,,"[3, 5]",0.2,5000,adam,1e-12,0.9199999999999999
20,logistic,0.1,,"[3, 5]",0.5,5000,adam,1e-12,0.9199999999999999
21,logistic,0.0,,"[3, 5]",0.1,5000,adam,1e-12,0.9199999999999999
22,logistic,0.0,,"[3, 5]",0.5,5000,adam,1e-12,0.9199999999999999
23,logistic,0.0,,"[3, 5]",0.2,5000,adam,1e-12,0.9199999999999999
24,logistic,0.005,10.0,"[3, 5]",0.1,5000,adam,1e-12,0.9039999999999999
25,logistic,0.0,10.0,"[2, 3]",0.5,5000,adam,1e-12,0.9039999999999999
26,logistic,0.0,32.0,"[2, 3]",0.1,5000,adam,1e-12,0.9039999999999999
27,logistic,0.005,10.0,"[3, 5]",0.2,5000,adam,1e-12,0.9039999999999999
28,logistic,0.0,32.0,"[2, 3]",0.2,5000,adam,1e-12,0.9039999999999999
29,logistic,0.0,32.0,"[2, 3]",0.5,5000,adam,1e-12,0.9039999999999999
30,logistic,0.0,10.0,"[2, 3]",0.1,5000,adam,1e-12,0.9039999999999999
31,logistic,0.0,10.0,"[2, 3]",0.2,5000,adam,1e-12,0.9039999999999999
32,logistic,0.005,10.0,"[2, 3]",0.1,5000,adam,1e-12,0.9039999999999999
33,logistic,0.005,10.0,"[3, 5]",0.5,5000,adam,1e-12,0.9039999999999999
34,logistic,0.005,10.0,"[2, 3]",0.2,5000,adam,1e-12,0.9039999999999999
35,logistic,0.005,10.0,"[2, 3]",0.5,5000,adam,1e-12,0.9039999999999999
36,logistic,0.0,32.0,"[3, 5]",0.5,5000,adam,1e-12,0.8879999999999999
37,logistic,0.0,32.0,"[3, 5]",0.2,5000,adam,1e-12,0.8879999999999999
38,logistic,0.0,32.0,"[3, 5]",0.1,5000,adam,1e-12,0.8879999999999999
39,logistic,0.0,10.0,"[3, 5]",0.1,5000,adam,1e-12,0.8800000000000001
40,logistic,0.0,10.0,"[3, 5]",0.2,5000,adam,1e-12,0.8800000000000001
41,logistic,0.0,10.0,"[3, 5]",0.5,5000,adam,1e-12,0.8800000000000001
42,logistic,0.1,10.0,"[2, 3]",0.2,5000,adam,1e-12,0.512
43,logistic,0.1,10.0,"[3, 5]",0.5,5000,adam,1e-12,0.512
44,logistic,0.1,10.0,"[3, 5]",0.2,5000,adam,1e-12,0.512
45,logistic,0.1,10.0,"[3, 5]",0.1,5000,adam,1e-12,0.512
46,logistic,0.1,10.0,"[2, 3]",0.5,5000,adam,1e-12,0.512
47,logistic,0.1,10.0,"[2, 3]",0.1,5000,adam,1e-12,0.512
48,logistic,0.1,32.0,"[2, 3]",0.2,5000,adam,1e-12,0.496
49,logistic,0.1,32.0,"[2, 3]",0.5,5000,adam,1e-12,0.496
50,logistic,0.1,32.0,"[3, 5]",0.1,5000,adam,1e-12,0.496
51,logistic,0.1,32.0,"[3, 5]",0.2,5000,adam,1e-12,0.496
52,logistic,0.1,32.0,"[3, 5]",0.5,5000,adam,1e-12,0.496
53,logistic,0.1,32.0,"[2, 3]",0.1,5000,adam,1e-12,0.496
