,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation accuracy
80,,2000,1e-06,0.6,0.0,SGM,[3],0.8720000000000001
81,32.0,2000,1e-06,0.6,0.0,SGM,[5],0.8720000000000001
82,,2000,1e-06,0.01,0.01,SGM,[5],0.8719999999999999
83,,2000,1e-06,0.6,0.0,SGM,[5],0.8719999999999999
84,32.0,2000,1e-06,0.7,0.01,SGM,[2],0.8719999999999999
85,32.0,2000,1e-06,0.6,0.01,SGM,[2],0.8719999999999999
86,32.0,2000,1e-06,0.01,0.001,SGM,[2],0.8640000000000001
87,32.0,2000,1e-06,0.1,0.0,SGM,[2],0.8640000000000001
88,,2000,1e-06,0.6,0.0001,SGM,[3],0.8640000000000001
89,32.0,2000,1e-06,0.1,0.0001,SGM,[2],0.8640000000000001
90,32.0,2000,1e-06,0.5,0.0,SGM,[5],0.8640000000000001
91,,2000,1e-06,0.6,0.001,SGM,[3],0.8640000000000001
92,32.0,2000,1e-06,0.5,0.0001,SGM,[5],0.8640000000000001
93,32.0,2000,1e-06,0.3,0.001,SGM,[2],0.8560000000000001
94,32.0,2000,1e-06,0.01,0.0001,SGM,[2],0.8560000000000001
95,32.0,2000,1e-06,0.01,0.0,SGM,[5],0.8480000000000001
96,32.0,2000,1e-06,0.01,0.0001,SGM,[5],0.8480000000000001
97,,2000,1e-06,0.01,0.001,SGM,[5],0.8400000000000001
98,,2000,1e-06,0.01,0.0,SGM,[5],0.8400000000000001
99,,2000,1e-06,0.01,0.0001,SGM,[5],0.8400000000000001
100,,2000,1e-06,0.3,0.01,SGM,[2],0.8400000000000001
101,32.0,2000,1e-06,0.5,0.001,SGM,[2],0.8320000000000001
102,,2000,1e-06,0.3,0.0,SGM,[2],0.8320000000000001
103,32.0,2000,1e-06,0.5,0.0,SGM,[2],0.8320000000000001
104,,2000,1e-06,0.3,0.0001,SGM,[2],0.8320000000000001
105,,2000,1e-06,0.3,0.001,SGM,[2],0.8320000000000001
106,32.0,2000,1e-06,0.3,0.0,SGM,[2],0.8160000000000001
107,32.0,2000,1e-06,0.3,0.0001,SGM,[2],0.8160000000000001
108,32.0,2000,1e-06,0.01,0.001,SGM,[5],0.8160000000000001
109,32.0,2000,1e-06,0.5,0.0001,SGM,[2],0.8160000000000001
110,32.0,2000,1e-06,0.01,0.0,SGM,[2],0.808
111,32.0,2000,1e-06,0.1,0.01,SGM,[3],0.8
112,32.0,2000,1e-06,0.6,0.0001,SGM,[2],0.7999999999999999
113,32.0,2000,1e-06,0.6,0.0,SGM,[2],0.7919999999999999
114,,2000,1e-06,0.01,0.0,SGM,[2],0.784
115,,2000,1e-06,0.01,0.0001,SGM,[2],0.784
116,,2000,1e-06,0.01,0.01,SGM,[2],0.784
117,,2000,1e-06,0.01,0.001,SGM,[2],0.784
118,32.0,2000,1e-06,0.7,0.001,SGM,[2],0.776
119,32.0,2000,1e-06,0.7,0.0,SGM,[2],0.768
120,32.0,2000,1e-06,0.7,0.0001,SGM,[2],0.768
121,,2000,1e-06,0.6,0.0001,SGM,[2],0.76
122,32.0,2000,1e-06,0.01,0.0,SGM,[3],0.76
123,32.0,2000,1e-06,0.01,0.0001,SGM,[3],0.76
124,,2000,1e-06,0.6,0.001,SGM,[2],0.752
125,,2000,1e-06,0.5,0.01,SGM,[2],0.752
126,,2000,1e-06,0.7,0.0,SGM,[2],0.744
127,,2000,1e-06,0.01,0.01,SGM,[3],0.744
128,,2000,1e-06,0.01,0.0001,SGM,[3],0.744
129,,2000,1e-06,0.5,0.0,SGM,[2],0.744
130,,2000,1e-06,0.01,0.001,SGM,[3],0.744
131,,2000,1e-06,0.01,0.0,SGM,[3],0.744
132,,2000,1e-06,0.7,0.01,SGM,[2],0.736
133,,2000,1e-06,0.7,0.001,SGM,[2],0.736
134,,2000,1e-06,0.6,0.0,SGM,[2],0.736
135,,2000,1e-06,0.6,0.01,SGM,[2],0.736
136,,2000,1e-06,0.5,0.0001,SGM,[2],0.736
137,,2000,1e-06,0.7,0.0001,SGM,[2],0.728
138,,2000,1e-06,0.5,0.001,SGM,[2],0.728
139,32.0,2000,1e-06,0.6,0.001,SGM,[2],0.728
140,32.0,2000,1e-06,0.01,0.001,SGM,[3],0.696
141,32.0,2000,1e-06,0.01,0.01,SGM,[5],0.5760000000000001
142,32.0,2000,1e-06,0.01,0.01,SGM,[2],0.544
143,32.0,2000,1e-06,0.01,0.01,SGM,[3],0.488
