,activation,alpha,batch_size,hidden_layer_sizes,learning_rate_init,max_iter,momentum,nesterovs_momentum,solver,tol,Validation accuracy
0,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.0,False,sgd,1e-06,0.992
1,logistic,0.001,10.0,"[3, 5]",0.01,3000,0.9,False,sgd,1e-06,0.992
2,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.0,True,sgd,1e-06,0.992
3,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.9,False,sgd,1e-06,0.992
4,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.5,True,sgd,1e-06,0.992
5,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.5,False,sgd,1e-06,0.992
6,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.0,True,sgd,1e-06,0.992
7,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.0,False,sgd,1e-06,0.992
8,logistic,0.001,10.0,"[3, 5]",0.05,3000,0.9,True,sgd,1e-06,0.992
9,logistic,0.001,10.0,"[3, 5]",0.05,3000,0.9,False,sgd,1e-06,0.992
10,logistic,0.001,10.0,"[3, 5]",0.05,3000,0.5,True,sgd,1e-06,0.992
11,logistic,0.001,10.0,"[3, 5]",0.05,3000,0.5,False,sgd,1e-06,0.992
12,logistic,0.001,10.0,"[3, 5]",0.05,3000,0.0,True,sgd,1e-06,0.992
13,logistic,0.001,10.0,"[3, 5]",0.05,3000,0.0,False,sgd,1e-06,0.992
14,logistic,0.001,10.0,"[3, 5]",0.01,3000,0.9,True,sgd,1e-06,0.992
15,logistic,0.001,10.0,"[3, 5]",0.1,3000,0.9,True,sgd,1e-06,0.992
16,logistic,0.001,10.0,"[3, 5]",0.01,3000,0.5,True,sgd,1e-06,0.992
17,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.5,False,sgd,1e-06,0.992
18,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.5,False,sgd,1e-06,0.992
19,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.5,True,sgd,1e-06,0.992
20,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.9,False,sgd,1e-06,0.992
21,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.0,False,sgd,1e-06,0.992
22,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.0,True,sgd,1e-06,0.992
23,logistic,0.001,10.0,"[3, 5]",0.001,3000,0.9,True,sgd,1e-06,0.992
24,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.5,True,sgd,1e-06,0.992
25,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.9,False,sgd,1e-06,0.992
26,logistic,0.001,10.0,"[3, 5]",0.005,3000,0.9,True,sgd,1e-06,0.992
27,logistic,0.001,10.0,"[3, 5]",0.01,3000,0.0,False,sgd,1e-06,0.992
28,logistic,0.001,10.0,"[3, 5]",0.01,3000,0.0,True,sgd,1e-06,0.992
29,logistic,0.001,10.0,"[3, 5]",0.01,3000,0.5,False,sgd,1e-06,0.992
30,logistic,0.001,,"[3, 5]",0.005,3000,0.0,True,sgd,1e-06,0.9039999999999999
31,logistic,0.001,,"[3, 5]",0.01,3000,0.0,False,sgd,1e-06,0.9039999999999999
32,logistic,0.001,,"[3, 5]",0.005,3000,0.9,True,sgd,1e-06,0.9039999999999999
33,logistic,0.001,,"[3, 5]",0.005,3000,0.9,False,sgd,1e-06,0.9039999999999999
34,logistic,0.001,,"[3, 5]",0.005,3000,0.5,True,sgd,1e-06,0.9039999999999999
35,logistic,0.001,,"[3, 5]",0.005,3000,0.5,False,sgd,1e-06,0.9039999999999999
36,logistic,0.001,,"[3, 5]",0.001,3000,0.0,True,sgd,1e-06,0.9039999999999999
37,logistic,0.001,,"[3, 5]",0.005,3000,0.0,False,sgd,1e-06,0.9039999999999999
38,logistic,0.001,,"[3, 5]",0.001,3000,0.9,True,sgd,1e-06,0.9039999999999999
39,logistic,0.001,,"[3, 5]",0.001,3000,0.9,False,sgd,1e-06,0.9039999999999999
40,logistic,0.001,,"[3, 5]",0.001,3000,0.5,True,sgd,1e-06,0.9039999999999999
41,logistic,0.001,,"[3, 5]",0.001,3000,0.5,False,sgd,1e-06,0.9039999999999999
42,logistic,0.001,,"[3, 5]",0.01,3000,0.5,False,sgd,1e-06,0.9039999999999999
43,logistic,0.001,,"[3, 5]",0.01,3000,0.0,True,sgd,1e-06,0.9039999999999999
44,logistic,0.001,,"[3, 5]",0.05,3000,0.5,True,sgd,1e-06,0.9039999999999999
45,logistic,0.001,,"[3, 5]",0.01,3000,0.5,True,sgd,1e-06,0.9039999999999999
46,logistic,0.001,,"[3, 5]",0.01,3000,0.9,False,sgd,1e-06,0.9039999999999999
47,logistic,0.001,,"[3, 5]",0.01,3000,0.9,True,sgd,1e-06,0.9039999999999999
48,logistic,0.001,,"[3, 5]",0.05,3000,0.0,False,sgd,1e-06,0.9039999999999999
49,logistic,0.001,,"[3, 5]",0.05,3000,0.0,True,sgd,1e-06,0.9039999999999999
50,logistic,0.001,,"[3, 5]",0.05,3000,0.5,False,sgd,1e-06,0.9039999999999999
51,logistic,0.001,,"[3, 5]",0.05,3000,0.9,False,sgd,1e-06,0.9039999999999999
52,logistic,0.001,,"[3, 5]",0.05,3000,0.9,True,sgd,1e-06,0.9039999999999999
53,logistic,0.001,,"[3, 5]",0.1,3000,0.0,False,sgd,1e-06,0.9039999999999999
54,logistic,0.001,,"[3, 5]",0.1,3000,0.0,True,sgd,1e-06,0.9039999999999999
55,logistic,0.001,,"[3, 5]",0.1,3000,0.5,False,sgd,1e-06,0.9039999999999999
56,logistic,0.001,,"[3, 5]",0.1,3000,0.5,True,sgd,1e-06,0.9039999999999999
57,logistic,0.001,,"[3, 5]",0.1,3000,0.9,False,sgd,1e-06,0.9039999999999999
58,logistic,0.001,,"[3, 5]",0.001,3000,0.0,False,sgd,1e-06,0.9039999999999999
59,logistic,0.001,,"[3, 5]",0.1,3000,0.9,True,sgd,1e-06,0.9039999999999999
60,logistic,0.001,32.0,"[3, 5]",0.1,3000,0.9,True,sgd,1e-06,0.8800000000000001
61,logistic,0.001,32.0,"[3, 5]",0.01,3000,0.0,True,sgd,1e-06,0.8800000000000001
62,logistic,0.001,32.0,"[3, 5]",0.1,3000,0.0,True,sgd,1e-06,0.8800000000000001
63,logistic,0.001,32.0,"[3, 5]",0.1,3000,0.0,False,sgd,1e-06,0.8800000000000001
64,logistic,0.001,32.0,"[3, 5]",0.05,3000,0.9,True,sgd,1e-06,0.8800000000000001
65,logistic,0.001,32.0,"[3, 5]",0.05,3000,0.9,False,sgd,1e-06,0.8800000000000001
66,logistic,0.001,32.0,"[3, 5]",0.05,3000,0.5,True,sgd,1e-06,0.8800000000000001
67,logistic,0.001,32.0,"[3, 5]",0.05,3000,0.5,False,sgd,1e-06,0.8800000000000001
68,logistic,0.001,32.0,"[3, 5]",0.05,3000,0.0,True,sgd,1e-06,0.8800000000000001
69,logistic,0.001,32.0,"[3, 5]",0.05,3000,0.0,False,sgd,1e-06,0.8800000000000001
70,logistic,0.001,32.0,"[3, 5]",0.01,3000,0.9,True,sgd,1e-06,0.8800000000000001
71,logistic,0.001,32.0,"[3, 5]",0.01,3000,0.9,False,sgd,1e-06,0.8800000000000001
72,logistic,0.001,32.0,"[3, 5]",0.01,3000,0.5,True,sgd,1e-06,0.8800000000000001
73,logistic,0.001,32.0,"[3, 5]",0.01,3000,0.5,False,sgd,1e-06,0.8800000000000001
74,logistic,0.001,32.0,"[3, 5]",0.01,3000,0.0,False,sgd,1e-06,0.8800000000000001
75,logistic,0.001,32.0,"[3, 5]",0.1,3000,0.5,True,sgd,1e-06,0.8800000000000001
76,logistic,0.001,32.0,"[3, 5]",0.005,3000,0.9,True,sgd,1e-06,0.8800000000000001
77,logistic,0.001,32.0,"[3, 5]",0.005,3000,0.9,False,sgd,1e-06,0.8800000000000001
78,logistic,0.001,32.0,"[3, 5]",0.005,3000,0.5,True,sgd,1e-06,0.8800000000000001
79,logistic,0.001,32.0,"[3, 5]",0.005,3000,0.5,False,sgd,1e-06,0.8800000000000001
80,logistic,0.001,32.0,"[3, 5]",0.005,3000,0.0,True,sgd,1e-06,0.8800000000000001
81,logistic,0.001,32.0,"[3, 5]",0.005,3000,0.0,False,sgd,1e-06,0.8800000000000001
82,logistic,0.001,32.0,"[3, 5]",0.001,3000,0.9,True,sgd,1e-06,0.8800000000000001
